Anlage_Energieträger,Anlagentyp,Leistung [kW],Anlage_Inbetriebnahme,Anlage_PLZ,Anlage_Ort,Anlage_Kanton
Photovoltaik,Angebaute Anlage,200,21.12.11,3186,Düdingen,FR
Photovoltaik,Integrierte Anlage,200.2,24.09.12,6022,Grosswangen,LU
Photovoltaik,Angebaute Anlage,200.3,10.03.15,3456,Dürrenroth,BE
Photovoltaik,Angebaute Anlage,200.4,07.12.11,4624,Härkingen,SO
Photovoltaik,Integrierte Anlage,200.6,02.10.12,1325,Vaulion,VD
Photovoltaik,Angebaute Anlage,200.7,09.12.14,6030,Ebikon,LU
Photovoltaik,Angebaute Anlage,200.7,24.08.12,4310,Rheinfelden,AG
Photovoltaik,Integrierte Anlage,200.8,17.12.13,1323,Romainmôtier,VD
Photovoltaik,Angebaute Anlage,200.9,31.03.15,3053,Münchenbuchsee,BE
Photovoltaik,Angebaute Anlage,201,27.02.12,3127,Mühlethurnen,BE
Photovoltaik,Angebaute Anlage,201.1,26.03.15,6156,Luthern,LU
Photovoltaik,Angebaute Anlage,201.4,24.02.12,8537,Nussbaumen,TG
Photovoltaik,Integrierte Anlage,201.5,19.12.12,6048,Horw,LU
Photovoltaik,Integrierte Anlage,202.1,13.11.13,8476,Unterstammheim,ZH
Photovoltaik,Angebaute Anlage,202.2,12.03.09,6072,Sachseln,OW
Photovoltaik,Angebaute Anlage,202.5,19.09.12,5210,Windisch,AG
Photovoltaik,Angebaute Anlage,202.6,12.11.08,4577,Hessigkofen,SO
Photovoltaik,Angebaute Anlage,202.8,02.01.15,6313,Menzingen,ZG
Photovoltaik,Angebaute Anlage,202.8,11.03.15,5426,Lengnau,AG
Photovoltaik,Angebaute Anlage,202.8,18.09.12,9246,Niederbüren,SG
Photovoltaik,Angebaute Anlage,203,23.06.17,5406,Rütihof,AG
Photovoltaik,Angebaute Anlage,203.3,19.08.16,1860,Aigle,VD
Photovoltaik,Integrierte Anlage,203.6,01.12.11,9243,Jonschwil,SG
Photovoltaik,Angebaute Anlage,203.6,30.09.11,4410,Liestal,BL
Photovoltaik,Integrierte Anlage,203.7,06.09.12,8184,Bachenbülach,ZH
Photovoltaik,Integrierte Anlage,204,24.12.13,1029,Villars-Sainte-Croix,VD
Photovoltaik,Angebaute Anlage,204.1,09.08.16,6018,Buttisholz,LU
Photovoltaik,Angebaute Anlage,204.1,20.12.13,9504,Friltschen,TG
Photovoltaik,Angebaute Anlage,204.4,16.11.11,6163,Ebnet,LU
Photovoltaik,Angebaute Anlage,204.4,18.08.10,6301,Zug,ZG
Photovoltaik,Angebaute Anlage,204.5,02.05.13,8107,Buchs,ZH
Photovoltaik,Angebaute Anlage,204.8,29.09.10,1806,St. Légier,VD
Photovoltaik,Angebaute Anlage,205,06.02.12,9410,Heiden,AR
Photovoltaik,Angebaute Anlage,205.9,15.12.16,7430,Thusis,GR
Photovoltaik,Angebaute Anlage,205.9,25.09.15,8916,Jonen,AG
Photovoltaik,Angebaute Anlage,206.8,27.02.16,6274,Eschenbach,LU
Photovoltaik,Angebaute Anlage,208.6,03.03.16,8966,Oberwil-Lieli,AG
Photovoltaik,Angebaute Anlage,209,30.03.16,5622,Waltenschwil,AG
Photovoltaik,Angebaute Anlage,209.9,24.09.12,4208,Nunningen,SO
Photovoltaik,Angebaute Anlage,210,21.12.12,3077,Enggistein,BE
Photovoltaik,Angebaute Anlage,210,09.10.16,9652,Neu St. Johann,SG
Photovoltaik,Angebaute Anlage,210.1,12.12.13,7000,Chur,GR
Photovoltaik,Integrierte Anlage,210.3,21.12.13,4704,Niederbipp,BE
Photovoltaik,Angebaute Anlage,211.1,25.11.14,1029,Villars-Sainte-Croix,VD
Photovoltaik,Integrierte Anlage,211.6,12.05.12,6026,Rain,LU
Photovoltaik,Angebaute Anlage,212.2,18.12.13,3942,Raron,VS
Photovoltaik,Angebaute Anlage,212.2,23.03.16,8847,Egg,SZ
Photovoltaik,Angebaute Anlage,212.3,10.09.15,6020,Emmenbrücke,LU
Photovoltaik,Angebaute Anlage,213.2,30.03.16,7492,Alvaneu-Dorf,GR
Photovoltaik,Integrierte Anlage,213.2,26.12.13,2947,Charmoille,JU
Photovoltaik,Angebaute Anlage,213.3,25.09.15,5634,Merenschwand,AG
Photovoltaik,Angebaute Anlage,213.6,14.12.13,9463,Oberriet,SG
Photovoltaik,Integrierte Anlage,214.2,21.12.13,3415,Hasle b. Burgdorf,BE
Photovoltaik,Angebaute Anlage,214.3,23.12.11,8444,Henggart,ZH
Photovoltaik,Angebaute Anlage,215,24.12.11,1410,Thierrens,VD
Photovoltaik,Angebaute Anlage,215,15.12.11,1018,Lausanne,VD
Photovoltaik,Angebaute Anlage,215.7,18.07.13,8362,Balterswil,TG
Photovoltaik,Angebaute Anlage,215.8,31.12.10,4564,Zielebach,BE
Photovoltaik,Angebaute Anlage,216,26.08.09,6252,Dagmersellen,LU
Photovoltaik,Integrierte Anlage,216,19.12.13,1299,Crans-près-Céligny,VD
Photovoltaik,Angebaute Anlage,216.2,27.09.12,9400,Rorschach,SG
Photovoltaik,Angebaute Anlage,217.4,01.12.11,8475,Ossingen,ZH
Photovoltaik,Angebaute Anlage,217.6,16.09.13,9315,Neukirch,TG
Photovoltaik,Angebaute Anlage,217.8,20.09.12,8424,Embrach,ZH
Photovoltaik,Integrierte Anlage,217.9,20.02.12,8340,Hinwil,ZH
Photovoltaik,Integrierte Anlage,217.9,20.02.12,8340,Hinwil,ZH
Photovoltaik,Angebaute Anlage,218,27.12.10,3324,Hindelbank,BE
Photovoltaik,Angebaute Anlage,218.1,25.10.13,8424,Embrach,ZH
Photovoltaik,Integrierte Anlage,218.2,19.12.13,1068,Les Monts de Pully,VD
Photovoltaik,Angebaute Anlage,218.9,23.12.13,6020,Emmenbrücke,LU
Photovoltaik,Angebaute Anlage,219.3,10.12.13,1525,Henniez,VD
Photovoltaik,Angebaute Anlage,219.4,30.03.16,7016,Trin Mulin,GR
Photovoltaik,Angebaute Anlage,219.4,19.12.12,4233,Meltingen,SO
Photovoltaik,Integrierte Anlage,219.5,01.10.10,1880,Bex,VD
Photovoltaik,Angebaute Anlage,219.8,17.03.16,8585,Langrickenbach,TG
Photovoltaik,Angebaute Anlage,220,17.07.12,2340,Le Noirmont,JU
Photovoltaik,Angebaute Anlage,220.2,25.09.15,3376,Berken,BE
Photovoltaik,Angebaute Anlage,220.2,28.06.16,9246,Niederbüren,SG
Photovoltaik,Angebaute Anlage,220.6,24.02.15,5628,Aristau,AG
Photovoltaik,Angebaute Anlage,220.8,29.06.15,3613,Steffisburg,BE
Photovoltaik,Integrierte Anlage,221.2,03.10.12,3377,Walliswil bei Wangen,BE
Photovoltaik,Angebaute Anlage,221.2,06.01.15,6236,Wilihof,LU
Photovoltaik,Angebaute Anlage,223.3,18.12.12,9323,Steinach,SG
Photovoltaik,Angebaute Anlage,223.4,31.03.17,9313,Muolen,SG
Photovoltaik,Angebaute Anlage,223.6,27.09.16,8625,Gossau,ZH
Photovoltaik,Angebaute Anlage,224.1,01.01.15,6313,Menzingen,ZG
Photovoltaik,Angebaute Anlage,224.1,30.09.15,7302,Landquart,GR
Photovoltaik,Angebaute Anlage,224.6,25.07.13,4513,Langendorf,SO
Photovoltaik,Angebaute Anlage,225.1,09.02.15,1072,Forel-Lavaux,VD
Photovoltaik,Angebaute Anlage,225.7,29.09.12,8370,Sirnach,TG
Photovoltaik,Angebaute Anlage,225.8,28.11.11,3902,Brig-Glis,VS
Photovoltaik,Angebaute Anlage,226.7,10.07.13,9243,Jonschwil,SG
Photovoltaik,Angebaute Anlage,226.8,28.03.15,4133,Pratteln,BL
Photovoltaik,Integrierte Anlage,228,14.11.12,6216,Mauensee,LU
Photovoltaik,Angebaute Anlage,228.3,09.03.15,8226,Schleitheim,SH
Photovoltaik,Angebaute Anlage,228.5,09.05.12,5605,Dottikon,AG
Photovoltaik,Angebaute Anlage,229,30.03.15,7304,Maienfeld,GR
Photovoltaik,Angebaute Anlage,229.2,12.10.11,6234,Triengen,LU
Photovoltaik,Integrierte Anlage,229.2,16.12.11,1242,Satigny,GE
Photovoltaik,Integrierte Anlage,230,23.02.12,8864,Reichenburg,SZ
Photovoltaik,Angebaute Anlage,230,20.12.13,9315,Neukirch-Egnach,TG
Photovoltaik,Integrierte Anlage,230,17.10.11,6277,Kleinwangen,LU
Photovoltaik,Angebaute Anlage,230.3,15.09.10,8404,Winterthur,ZH
Photovoltaik,Integrierte Anlage,230.3,12.07.12,8197,Rafz,ZH
Photovoltaik,Angebaute Anlage,230.4,29.03.16,4600,Olten,SO
Photovoltaik,Angebaute Anlage,230.6,30.09.15,2414,Le Cerneux-Péquignot,NE
Photovoltaik,Angebaute Anlage,230.9,08.03.16,3250,Lyss,BE
Photovoltaik,Angebaute Anlage,231.4,31.03.16,8932,Mettmenstetten,ZH
Photovoltaik,Angebaute Anlage,231.4,28.09.12,9452,Hinterforst,SG
Photovoltaik,Angebaute Anlage,231.5,20.12.11,1717,St. Ursen,FR
Photovoltaik,Angebaute Anlage,231.5,06.07.11,6017,Ruswil,LU
Photovoltaik,Angebaute Anlage,232.1,08.01.16,8376,Fischingen,TG
Photovoltaik,Integrierte Anlage,233,11.12.13,3800,Unterseen,BE
Photovoltaik,Angebaute Anlage,233.2,27.12.13,6130,Willisau,LU
Photovoltaik,Angebaute Anlage,233.3,23.12.11,5234,Villigen,AG
Photovoltaik,Angebaute Anlage,233.5,22.09.13,8207,Schaffhausen,SH
Photovoltaik,Angebaute Anlage,234.5,12.12.13,6030,Ebikon,LU
Photovoltaik,Angebaute Anlage,235.6,30.03.15,5405,Baden-Dättwil,AG
Photovoltaik,Angebaute Anlage,236.3,05.07.11,8840,Einsiedeln,SZ
Photovoltaik,Angebaute Anlage,236.3,14.10.14,3088,Rüeggisberg,BE
Photovoltaik,Angebaute Anlage,236.8,24.03.15,8752,Näfels,GL
Photovoltaik,Angebaute Anlage,236.9,27.12.13,8856,Tuggen,SZ
Photovoltaik,Angebaute Anlage,237.3,30.11.13,3510,Konolfingen,BE
Photovoltaik,Angebaute Anlage,237.8,27.03.15,6276,Hohenrain,LU
Photovoltaik,Angebaute Anlage,238,24.02.12,6147,Altbüron,LU
Photovoltaik,Angebaute Anlage,238.4,25.04.10,4227,Büsserach,SO
Photovoltaik,Angebaute Anlage,238.5,17.03.17,6222,Gunzwil,LU
Photovoltaik,Angebaute Anlage,238.5,17.03.17,6222,Gunzwil,LU
Photovoltaik,Angebaute Anlage,239.2,23.12.13,4950,Huttwil,BE
Photovoltaik,Angebaute Anlage,239.9,26.12.12,1163,Etoy,VD
Photovoltaik,Angebaute Anlage,240.6,09.07.16,6215,Beromünster,LU
Photovoltaik,Integrierte Anlage,241,13.09.12,6204,Sempach,LU
Photovoltaik,Integrierte Anlage,241.3,17.12.12,3435,Ramsei,BE
Photovoltaik,Angebaute Anlage,241.5,28.11.13,5057,Reitnau,AG
Photovoltaik,Angebaute Anlage,243.3,25.09.12,1565,Missy,VD
Photovoltaik,Angebaute Anlage,243.5,11.12.13,1800,Vevey,VD
Photovoltaik,Angebaute Anlage,244,05.11.10,8514,Amlikon-Bissegg,TG
Photovoltaik,Angebaute Anlage,244.2,16.12.11,6182,Escholzmatt,LU
Photovoltaik,Angebaute Anlage,244.2,25.11.10,9606,Bütschwil,SG
Photovoltaik,Angebaute Anlage,244.6,01.07.13,4629,Fulenbach,SO
Photovoltaik,Angebaute Anlage,244.8,22.12.11,3904,Naters,VS
Photovoltaik,Integrierte Anlage,245.3,01.11.13,5426,Lengnau,AG
Photovoltaik,Integrierte Anlage,245.4,05.12.12,1615,Bossonnens,FR
Photovoltaik,Angebaute Anlage,245.4,06.03.15,6274,Eschenbach,LU
Photovoltaik,Angebaute Anlage,245.9,02.01.09,9463,Oberriet,SG
Photovoltaik,Integrierte Anlage,245.9,13.12.13,6205,Eich,LU
Photovoltaik,Integrierte Anlage,246,12.07.13,1462,Yvonand,VD
Photovoltaik,Angebaute Anlage,246.5,24.03.15,8732,Neuhaus,SG
Photovoltaik,Angebaute Anlage,246.5,25.04.12,5644,Auw,AG
Photovoltaik,Angebaute Anlage,246.7,30.08.12,1149,Berolle,VD
Photovoltaik,Angebaute Anlage,247.5,01.11.10,8200,Schaffhausen,SH
Photovoltaik,Angebaute Anlage,247.8,05.12.11,3186,Düdingen,FR
Photovoltaik,Angebaute Anlage,247.8,21.12.12,1880,Bex,VD
Photovoltaik,Angebaute Anlage,248,09.02.16,7214,Grüsch,GR
Photovoltaik,Angebaute Anlage,248.1,20.09.11,7320,Sargans,SG
Photovoltaik,Angebaute Anlage,248.2,28.03.15,8864,Reichenburg,SZ
Photovoltaik,Angebaute Anlage,248.2,23.12.10,8197,Rafz,ZH
Photovoltaik,Angebaute Anlage,248.4,20.12.13,6242,Wauwil,LU
Photovoltaik,Angebaute Anlage,248.7,27.10.11,8570,Weinfelden,TG
Photovoltaik,Angebaute Anlage,249.3,12.09.12,3902,Brig-Glis,VS
Photovoltaik,Angebaute Anlage,249.6,14.09.11,6232,Geuensee,LU
Photovoltaik,Angebaute Anlage,249.6,20.02.15,6015,Luzern,LU
Photovoltaik,Angebaute Anlage,249.9,27.09.12,4601,Olten,SO
Photovoltaik,Angebaute Anlage,250,27.12.11,4703,Kestenholz,SO
Photovoltaik,Angebaute Anlage,250.4,14.12.11,6403,Küssnacht am Rigi,SZ
Photovoltaik,Angebaute Anlage,251.2,09.12.14,4414,Füllinsdorf,BL
Photovoltaik,Angebaute Anlage,251.4,17.08.12,6019,Sigigen,LU
Photovoltaik,Angebaute Anlage,251.6,11.09.12,6850,Mendrisio,TI
Photovoltaik,Angebaute Anlage,251.7,12.12.12,6300,Zug,ZG
Photovoltaik,Angebaute Anlage,252.5,21.12.16,9464,Lienz,SG
Photovoltaik,Angebaute Anlage,252.5,21.12.16,9464,Lienz,SG
Photovoltaik,Angebaute Anlage,253.1,22.12.11,5623,Boswil,AG
Photovoltaik,Integrierte Anlage,253.2,23.12.13,4455,Zunzgen,BL
Photovoltaik,Angebaute Anlage,253.2,28.03.15,6203,Sempach Station,LU
Photovoltaik,Angebaute Anlage,253.3,10.03.15,2607,Cortébert,BE
Photovoltaik,Angebaute Anlage,253.5,21.12.12,8048,Zürich,ZH
Photovoltaik,Angebaute Anlage,254.8,04.07.14,7203,Trimmis,GR
Photovoltaik,Angebaute Anlage,255.8,07.01.15,5426,Lengnau,AG
Photovoltaik,Angebaute Anlage,255.8,27.09.16,6417,Sattel,SZ
Photovoltaik,Angebaute Anlage,255.9,27.02.17,9315,Neukirch,TG
Photovoltaik,Integrierte Anlage,256,05.06.12,3770,Zweisimmen,BE
Photovoltaik,Angebaute Anlage,256.4,11.12.12,1406,Cronay,VD
Photovoltaik,Angebaute Anlage,256.8,10.06.14,4104,Oberwil,BL
Photovoltaik,Angebaute Anlage,258,20.12.11,6221,Rickenbach,LU
Photovoltaik,Angebaute Anlage,258.1,03.06.11,6016,Hellbühl,LU
Photovoltaik,Angebaute Anlage,258.2,08.11.11,4142,Münchenstein,BL
Photovoltaik,Angebaute Anlage,258.6,27.03.15,6170,Schüpfheim,LU
Photovoltaik,Angebaute Anlage,259,24.09.12,3322,Urtenen-Schönbühl,BE
Photovoltaik,Integrierte Anlage,259.2,17.10.11,4144,Arlesheim,BL
Photovoltaik,Angebaute Anlage,260,19.12.13,9475,Sevelen,SG
Photovoltaik,Angebaute Anlage,260.7,06.01.15,8514,Amlikon-Bissegg,TG
Photovoltaik,Angebaute Anlage,260.7,13.09.10,9230,Flawil,SG
Photovoltaik,Angebaute Anlage,260.9,14.11.13,3019,Bern,BE
Photovoltaik,Angebaute Anlage,261.9,09.12.08,4553,Subingen,SO
Photovoltaik,Angebaute Anlage,261.9,18.12.13,9444,Diepoldsau,SG
Photovoltaik,Angebaute Anlage,262.8,04.10.11,8717,Benken,SG
Photovoltaik,Angebaute Anlage,263.4,21.12.10,5417,Untersiggenthal,AG
Photovoltaik,Angebaute Anlage,263.4,14.08.08,6147,Altbüron,LU
Photovoltaik,Angebaute Anlage,263.6,10.10.13,9444,Diepoldsau,SG
Photovoltaik,Angebaute Anlage,265.3,11.07.12,3267,Seedorf,BE
Photovoltaik,Angebaute Anlage,265.7,28.08.15,6274,Eschenbach,LU
Photovoltaik,Angebaute Anlage,266.8,25.06.13,6055,Alpnach Dorf,OW
Photovoltaik,Integrierte Anlage,266.8,25.06.13,1742,Autigny,FR
Photovoltaik,Angebaute Anlage,268.7,22.09.15,8185,Winkel,ZH
Photovoltaik,Angebaute Anlage,268.7,12.12.14,7403,Rhäzüns,GR
Photovoltaik,Angebaute Anlage,270,21.12.11,1400,Yverdon,VD
Photovoltaik,Integrierte Anlage,270.3,15.12.11,2926,Boncourt,JU
Photovoltaik,Angebaute Anlage,270.3,23.12.13,9533,Kirchberg,SG
Photovoltaik,Angebaute Anlage,270.4,20.04.06,1227,Carouge,GE
Photovoltaik,Angebaute Anlage,270.7,19.03.15,8593,Kesswil,TG
Photovoltaik,Angebaute Anlage,270.7,21.12.12,4901,Langenthal,BE
Photovoltaik,Integrierte Anlage,271.3,15.11.13,8105,Watt,ZH
Photovoltaik,Angebaute Anlage,271.6,31.03.15,7204,Untervaz,GR
Photovoltaik,Angebaute Anlage,272,05.03.15,9630,Wattwil,SG
Photovoltaik,Integrierte Anlage,272.6,16.12.10,2516,Lamboing,BE
Photovoltaik,Angebaute Anlage,273.2,31.12.13,2545,Selzach,SO
Photovoltaik,Angebaute Anlage,273.6,19.09.14,2345,Les Breuleux,JU
Photovoltaik,Angebaute Anlage,274,23.06.16,9443,Widnau,SG
Photovoltaik,Angebaute Anlage,274,23.06.16,9443,Widnau,SG
Photovoltaik,Angebaute Anlage,274.4,24.03.15,9502,Braunau,TG
Photovoltaik,Integrierte Anlage,275.2,17.08.12,2803,Bourrignon,JU
Photovoltaik,Integrierte Anlage,275.7,07.12.11,3186,Düdingen,FR
Photovoltaik,Angebaute Anlage,276.6,31.03.16,5605,Dottikon,AG
Photovoltaik,Integrierte Anlage,276.8,12.12.13,3205,Gümmenen,BE
Photovoltaik,Angebaute Anlage,276.9,07.12.11,5746,Walterswil,SO
Photovoltaik,Angebaute Anlage,278.2,19.12.13,3645,Gwatt,BE
Photovoltaik,Angebaute Anlage,278.6,05.09.16,1728,Rossens,FR
Photovoltaik,Angebaute Anlage,279.5,13.10.14,8580,Amriswil,TG
Photovoltaik,Angebaute Anlage,280,18.09.12,3507,Biglen,BE
Photovoltaik,Angebaute Anlage,280,23.03.15,5644,Auw,AG
Photovoltaik,Angebaute Anlage,280.4,20.12.13,1272,Genolier,VD
Photovoltaik,Integrierte Anlage,280.7,07.11.13,6206,Neuenkirch,LU
Photovoltaik,Angebaute Anlage,280.9,09.04.08,6146,Grossdietwil,LU
Photovoltaik,Angebaute Anlage,281.3,13.11.13,8253,Diessenhofen,TG
Photovoltaik,Integrierte Anlage,282.1,28.09.12,6300,Zug,ZG
Photovoltaik,Angebaute Anlage,282.4,10.12.15,3076,Worb,BE
Photovoltaik,Angebaute Anlage,282.4,01.10.14,9630,Wattwil,SG
Photovoltaik,Angebaute Anlage,284,07.04.14,5600,Ammerswil,AG
Photovoltaik,Angebaute Anlage,284.6,31.08.12,6214,Schenkon,LU
Photovoltaik,Integrierte Anlage,285,05.07.12,1528,Praratoud,FR
Photovoltaik,Angebaute Anlage,285.1,31.03.15,7302,Landquart,GR
Photovoltaik,Angebaute Anlage,285.8,20.12.13,8514,Amlikon-Bissegg,TG
Photovoltaik,Angebaute Anlage,287.3,22.09.11,9200,Gossau,SG
Photovoltaik,Angebaute Anlage,287.9,20.06.16,8560,Märstetten,TG
Photovoltaik,Angebaute Anlage,288,22.11.11,1373,Chavornay,VD
Photovoltaik,Angebaute Anlage,290,30.03.15,8576,Mauren,TG
Photovoltaik,Integrierte Anlage,290.3,19.12.11,5224,Unterbözberg,AG
Photovoltaik,Angebaute Anlage,290.4,20.02.15,8855,Wangen,SZ
Photovoltaik,Angebaute Anlage,290.6,16.03.15,5018,Erlinsbach,AG
Photovoltaik,Integrierte Anlage,291.5,20.12.12,1070,Puidoux,VD
Photovoltaik,Angebaute Anlage,292,19.12.13,9225,Wilen-Gottshaus,TG
Photovoltaik,Angebaute Anlage,292.7,15.09.09,9463,Oberriet,SG
Photovoltaik,Angebaute Anlage,293,07.01.15,8872,Weesen,SG
Photovoltaik,Angebaute Anlage,293.4,16.09.15,8307,Effretikon,ZH
Photovoltaik,Angebaute Anlage,294.5,15.08.11,8725,Ernetschwil,SG
Photovoltaik,Angebaute Anlage,295,30.09.16,4710,Balsthal,SO
Photovoltaik,Angebaute Anlage,295.5,27.09.16,6222,Gunzwil,LU
Photovoltaik,Angebaute Anlage,296.2,24.03.16,5106,Veltheim,AG
Photovoltaik,Angebaute Anlage,297.4,28.02.12,8200,Schaffhausen,SH
Photovoltaik,Angebaute Anlage,297.4,11.10.14,6276,Hohenrain,LU
Photovoltaik,Angebaute Anlage,297.8,14.12.12,8722,Kaltbrunn,SG
Photovoltaik,Angebaute Anlage,298.4,24.08.12,1784,Cournillens,FR
Photovoltaik,Integrierte Anlage,298.8,22.12.10,4583,Aetigkofen,SO
Photovoltaik,Angebaute Anlage,299.2,14.01.15,3422,Rüdtligen,BE
Photovoltaik,Angebaute Anlage,300,08.07.11,3421,Lyssach,BE
Photovoltaik,Angebaute Anlage,300,30.06.16,3600,Thun,BE
Photovoltaik,Angebaute Anlage,300.2,23.12.13,5453,Busslingen,AG
Photovoltaik,Angebaute Anlage,300.3,03.11.14,3414,Oberburg b. Burgdorf,BE
Photovoltaik,Angebaute Anlage,301.2,06.07.11,9464,Lienz,SG
Photovoltaik,Angebaute Anlage,301.7,10.09.14,8915,Hausen am Albis,ZH
Photovoltaik,Angebaute Anlage,301.9,25.09.15,5525,Fischbach-Göslikon,AG
Photovoltaik,Angebaute Anlage,302.2,29.08.11,9200,Gossau,SG
Photovoltaik,Angebaute Anlage,302.6,30.03.15,3183,Albligen,BE
Photovoltaik,Angebaute Anlage,302.7,20.12.13,3184,Wünnewil,FR
Photovoltaik,Angebaute Anlage,303,24.09.13,4410,Liestal,BL
Photovoltaik,Angebaute Anlage,304.5,09.09.16,9245,Oberbüren,SG
Photovoltaik,Angebaute Anlage,305.6,24.12.12,4450,Sissach,BL
Photovoltaik,Angebaute Anlage,305.9,21.06.13,6217,Kottwil,LU
Photovoltaik,Integrierte Anlage,307.2,29.09.17,6330,Cham,ZG
Photovoltaik,Angebaute Anlage,309.5,28.09.12,4704,Niederbipp,BE
Photovoltaik,Angebaute Anlage,310,27.02.12,6423,Seewen,SZ
Photovoltaik,Integrierte Anlage,311.1,27.02.12,6022,Grosswangen,LU
Photovoltaik,Angebaute Anlage,311.6,27.09.12,5325,Leibstadt,AG
Photovoltaik,Angebaute Anlage,311.8,14.12.11,1131,Tolochenaz,VD
Photovoltaik,Angebaute Anlage,312.1,17.12.13,3178,Bösingen,FR
Photovoltaik,Angebaute Anlage,313.3,18.04.16,3930,Visp,VS
Photovoltaik,Angebaute Anlage,315.1,29.08.14,8918,Unterlunkhofen,AG
Photovoltaik,Angebaute Anlage,315.2,12.03.15,4324,Obermumpf,AG
Photovoltaik,Angebaute Anlage,316.4,04.07.15,6025,Neudorf,LU
Photovoltaik,Angebaute Anlage,317.5,01.07.10,8112,Otelfingen,ZH
Photovoltaik,Angebaute Anlage,317.5,27.12.12,1030,Bussigny-près-Lausanne,VD
Photovoltaik,Angebaute Anlage,318.1,27.03.15,6331,Hünenberg,ZG
Photovoltaik,Angebaute Anlage,318.6,07.07.10,1665,Estavannens,FR
Photovoltaik,Angebaute Anlage,318.8,27.03.15,7127,Sevgein,GR
Photovoltaik,Angebaute Anlage,318.8,27.03.15,7127,Sevgein,GR
Photovoltaik,Angebaute Anlage,319.8,10.12.13,8610,Uster,ZH
Photovoltaik,Angebaute Anlage,320.2,25.09.15,6340,Sihlbrugg,ZG
Photovoltaik,Integrierte Anlage,320.3,30.12.13,1040,Villars-le-Terroir,VD
Photovoltaik,Integrierte Anlage,320.3,30.12.13,1040,Villars-le-Terroir,VD
Photovoltaik,Integrierte Anlage,321.6,15.06.09,6284,Gelfingen,LU
Photovoltaik,Angebaute Anlage,321.8,22.12.11,1524,Granges-Près-Marnand,VD
Photovoltaik,Integrierte Anlage,322.2,01.07.10,1227,Les Acacias,GE
Photovoltaik,Angebaute Anlage,322.5,28.03.15,8717,Benken,SG
Photovoltaik,Angebaute Anlage,323,10.12.13,1525,Henniez,VD
Photovoltaik,Angebaute Anlage,325.5,26.11.10,6017,Ruswil,LU
Photovoltaik,Angebaute Anlage,325.5,23.03.16,8266,Steckborn,TG
Photovoltaik,Angebaute Anlage,325.7,13.03.17,8172,Niederglatt,ZH
Photovoltaik,Angebaute Anlage,326.4,21.12.14,6403,Küssnacht am Rigi,SZ
Photovoltaik,Angebaute Anlage,326.9,22.09.15,8560,Märstetten,TG
Photovoltaik,Angebaute Anlage,327.5,30.09.15,6276,Hohenrain,LU
Photovoltaik,Angebaute Anlage,330.5,25.06.13,6916,Grancia,TI
Photovoltaik,Angebaute Anlage,332.3,28.09.12,6152,Hüswil,LU
Photovoltaik,Angebaute Anlage,332.5,24.09.12,6056,Kägiswil,OW
Photovoltaik,Angebaute Anlage,333.8,10.08.12,9552,Bronschhofen,SG
Photovoltaik,Angebaute Anlage,334.6,27.03.15,9545,Wängi,TG
Photovoltaik,Angebaute Anlage,335.7,24.12.13,3762,Erlenbach,BE
Photovoltaik,Angebaute Anlage,336,11.06.14,8584,Opfershofen,TG
Photovoltaik,Integrierte Anlage,336.9,21.12.12,1489,Murist,FR
Photovoltaik,Angebaute Anlage,337.4,22.12.11,4107,Ettingen,BL
Photovoltaik,Angebaute Anlage,337.4,23.12.10,7304,Maienfeld,GR
Photovoltaik,Angebaute Anlage,340.2,26.09.17,6102,Malters,LU
Photovoltaik,Angebaute Anlage,340.6,10.02.15,6005,Luzern,LU
Photovoltaik,Angebaute Anlage,341.9,18.12.13,4537,Wiedlisbach,BE
Photovoltaik,Angebaute Anlage,342,18.10.10,8233,Bargen,SH
Photovoltaik,Angebaute Anlage,342.8,07.05.10,3238,Gals,BE
Photovoltaik,Angebaute Anlage,343.8,12.12.11,9403,Goldach,SG
Photovoltaik,Angebaute Anlage,344,22.07.15,6022,Grosswangen,LU
Photovoltaik,Angebaute Anlage,345.1,27.09.17,3952,Susten,VS
Photovoltaik,Angebaute Anlage,345.3,14.06.10,4227,Büsserach,SO
Photovoltaik,Angebaute Anlage,346.3,23.12.13,4938,Rohrbach,BE
Photovoltaik,Angebaute Anlage,346.3,31.03.16,1278,La Rippe,VD
Photovoltaik,Angebaute Anlage,346.8,30.07.15,6018,Buttisholz,LU
Photovoltaik,Angebaute Anlage,347.5,12.12.13,2340,Le Noirmont,JU
Photovoltaik,Angebaute Anlage,347.7,27.07.09,9556,Zezikon,TG
Photovoltaik,Integrierte Anlage,348.9,13.12.11,9402,Mörschwil,SG
Photovoltaik,Angebaute Anlage,349.1,23.12.11,8274,Tägerwilen,TG
Photovoltaik,Angebaute Anlage,351,24.12.12,8340,Hinwil,ZH
Photovoltaik,Angebaute Anlage,352.3,09.12.11,5453,Remetschwil,AG
Photovoltaik,Angebaute Anlage,353.5,30.12.10,7205,Zizers,GR
Photovoltaik,Angebaute Anlage,355.5,07.05.10,4052,Basel,BS
Photovoltaik,Angebaute Anlage,356.4,07.12.10,8953,Dietikon,ZH
Photovoltaik,Angebaute Anlage,357.3,15.01.15,9525,Lenggenwil,SG
Photovoltaik,Integrierte Anlage,358.5,21.12.12,8114,Dänikon,ZH
Photovoltaik,Angebaute Anlage,359.1,09.12.13,1007,Lausanne,VD
